appid,name,description,price,release_date,developer,publisher,tags
1396670,Fantasy Grounds - Pathfinder RPG - Wrath of the Righteous AP 1: The Worldwound Incursion,"Pathfinder RPG - Wrath of the Righteous AP 1: The Worldwound IncursionChapter 1: &quot;The Worldwound Incursion&quot;by Amber E. ScottFor more than a hundred years, the demon-infested Worldwound has warred against humanity, its Abyssal armies clashing with crusaders, barbarians, mercenaries, and heroes along the border of lost Sarkoris.",₹ 569,"29 Sep, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396680,Fantasy Grounds - Pathfinder RPG - Wrath of the Righteous AP 2: Sword of Valor,"Pathfinder RPG - Wrath of the Righteous AP 2: Sword of ValorChapter 2: &quot;Sword of Valor&quot; by Neil SpicerThe Wrath of the Righteous Adventure Path continues with &quot;Sword of Valor,&quot; by RPG Superstar Neil Spicer.",₹ 569,"20 Apr, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396700,Fantasy Grounds - Pathfinder RPG - Wrath of the Righteous AP 4: The Midnight Isles,"Pathfinder RPG - Wrath of the Righteous AP 4: The Midnight IslesChapter 4: &quot;The Midnight Isles&quot;by Greg A. Vaughan and James JacobsAfter an audience with the Crusader Queen, the heroes journey to a fortress that straddles the boundary between this world and the demon-haunted realm of the Abyss.",₹ 569,"28 Sep, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396710,Fantasy Grounds - Pathfinder RPG - Wrath of the Righteous AP 5: Herald of the Ivory Labyrinth,"Pathfinder RPG - Wrath of the Righteous AP 5: Herald of the Ivory LabyrinthChapter 5: &quot;Herald of the Ivory Labyrinth&quot;by Wolfgang BaurThe cult of Baphomet has been delivered a critical blow, yet the demon lord remains undeterred. Now he's taken hostage the herald of Iomedae, goddess of justice and valor.",₹ 569,"21 Dec, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396720,Fantasy Grounds - Pathfinder RPG - Wrath of the Righteous AP 6: City of Locusts,"Pathfinder RPG - Wrath of the Righteous AP 6: City of LocustsChapter 6: &quot;City of Locusts&quot;by Richard PettThe Wrath of the Righteous Adventure Path concludes with &quot;City of Locusts,&quot; a thrilling climax by fan-favorite author Richard Pett!",₹ 569,"11 Jan, 2022","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396750,Fantasy Grounds - Tomb of the Kirin-Born Prince,"Tomb of the Kirin-Born PrinceThis adventure is optimized for five characters with an average party level (APL) of 7. Characters outside this level range cannot participate in this adventure. The adventure includes a lot of dangerous traps, so a party with a rogue or a wizard with high investigation will be incredibly useful.",₹ 199,"25 Aug, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396780,Fantasy Grounds Unity - Ultimate License Upgrade,"The Ultimate Upgrade contains all the same content as the Standard version, but it allows you to host games for players without requiring those players to own a license of their own for Fantasy Grounds Unity.","₹ 1,300","27 Aug, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396820,Fantasy Grounds - Rise of the Drow: Collector's Edition,"Rise of the Drow: Collector's EditionTonight, a ceremony of light is taking place on the surface.Meanwhile, a world away in the city of spiders, a drow matron solidifies a pact with soul-consuming entities who require great sacrifices in trade for unimaginable power. Drow eyes turn to the surface.","₹ 1,299","15 Sep, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396840,Fantasy Grounds - The Whispering Fen,"The Whispering FenThe Whispering Fen is a 1st-level adventure suitable for 3-5 players. It takes between 4-8 hours to play. In it, the small village of Bogbank struggles for its survival. Each night the village is besieged by swarms of monsters that emerge from the Whispering Fen to drain the life from anyone they find.",₹ 219,"8 Sep, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396860,Fantasy Grounds - Into Quabus,"Into Quabus 3rd-7th Level 5e Adventure PathHorrible happenings transpire below Old Blire Manor . Will the party free the Prison Pits , reveal the secrets within Violent Delights, and finally assault the Research Level?",₹ 569,"8 Sep, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1396870,ENCHAIN,"Grapple, throw, and break your fellow undead in this bone-smashing exploration movement shooter. Challenge the afterlife, collect secret artifacts, and uncover the deprived depths as you clamber out of a hopeless abyss.",N/A,Coming soon,mattlawr,mattlawr,"Action, Adventure, Indie, Early Access"
1396890,Boss of this gym,"Enjoy going in the gym how it was intended: phonk, sick racing cars and Emperor Putin guarding you. Get buff and visit the ♂Dungeon Master♂ to get uprades. Drink tonics and avoid obstacles on your path to becoming the ♂Boss of this Gym♂.",₹ 42,"5 Mar, 2021",IndieGameMamaDev,IndieGameMama,"Action, Casual, Indie"
1396950,The mouse and the cheese,An arcade-style strategy / maze game!! Collect all the cheeses to pass the level !!,₹ 155,"16 Oct, 2020",Aurelio B Oliveira,OG Oliver Games,Indie
1396970,Chess on Ice,"A casual sports simulation game built around using physics to throw and control throwing your rocks towards a target. Play with up to three other friends in local multiplayer, or by yourself in the 20+ stage challenge mode!",N/A,Coming soon,CGames Studio,CGames Studio,"Casual, Simulation, Sports"
1396980,The Sealed Ampoule,The Sealed Ampoule is a “dungeon agriculturalization Roguelite game” combining elements of dungeon exploration and clicker-style gameplay.,₹ 264,"4 Mar, 2021",CAVYHOUSE,PLAYISM,"Adventure, Indie, RPG, Simulation"
1397000,Zodiac DX,Retro side-scrolling adventure!,₹ 125,"15 Jul, 2021",Foxy Boxy Games,Foxy Boxy Games,Action
1397010,1980,"Welcome to the 1980s! This is a city which just started to develop, and you're in charge of this small urban village. How will the city's future be tied to this place? Manage your land, construct new buildings, explore the stories, and find out the ultimate fate of this urban village!",N/A,"31 Aug, 2020",Merxon22,Merxon22,"Free To Play, Indie, Strategy"
1397030,Survive or Thrive,"Crikey, mate! You shouldn't be out here all on your own! There's big MONSTAS' runnin' about! And besides... It's not always the beasts that you gotta watch out for. Beasts are easy to predict! They just wanna kill and eat ya! Humans are much harder... They'll pretend to be your friend first!",₹ 84,"7 Sep, 2020",Randumb Studios,Randumb Studios,"RPG, Simulation"
1397040,Sanguine Melancholia,"A turn-based RPG set in a dystopian future. With Earth's population decimated and demons roaming the planet, the governing Council decides to outlaw hunting down the beasts. With their administration having failed them, it falls to a small group of rebellious Hunters to keep innocents safe.",N/A,"3 Sep, 2020",MollyAvast,MollyAvast,"Indie, RPG, Strategy"
