appid,name,description,price,release_date,developer,publisher,tags
1462940,Ecto Portal,"The next generation of spooky displays, created by the Spooky Genius! You’ve never seen anything like this before.",₹ 529,"16 Jan, 2021",SpookyAction,SpookyAction,"Action, Adventure"
1462960,Evade Zero,Evade is a fast and intense local multiplayer game. Go head to head with 2 - 4 friends or family and test your skills in the original competitive action game.,₹ 299,"18 Dec, 2020",Jonathan Francis,Self Published,"Action, Indie, Sports"
1462970,Jumpman (C64/MSDOS),"Run, climb and jump from platform to platform to collect and disarm deadly bombs, but watch out! One single misstep will send you tumbling to the ground! With 30 different challenging levels to beat, experience the thrills and spills of one of the earliest platformers.",₹ 155,"19 Nov, 2020","Epyx, Inc.",Pixel Games UK,"Action, Adventure, Simulation"
1462980,Dinosaurs Live Wallpaper: with Secret Sandboxes,,N/A,Coming soon,William at Oxford,William at Oxford,Utilities
1462990,Rushaug: Feline Warfare,"A tactical platformer combining stealth and fast-paced gunplay with action and story-driven missions in a vast explorable world with a large variety of environments. Infiltrate enemy outposts, prevent nuclear war, and uncover the enemy's top secret weapon; Project Emerald.",N/A,To be announced,Tobias Edvardsen,Tobias Edvardsen,"Action, Adventure"
1463010,Tank Mechanic Simulator VR,"Tank Mechanic Simulator VR is highly detailed, realistic, and focused on the authenticity simulation of a tank mechanic.",₹ 880,"1 Sep, 2022",GameFormatic S.A.,PlayWay S.A.,Simulation
1463020,Aim Academy,Improve aiming in FPS games by completing trials to develop your muscular memory.,₹ 165,"22 Jan, 2021",Solo Dev,Solo Dev,"Action, Simulation, Early Access"
1463030,Jump With Dragons,An addictive Platformer with Gun and Dragons.,₹ 42,"24 Nov, 2020",SeedWall,SeedWall,"Casual, Indie"
1463040,The Legend of Eratus: Dragonlord,In this heroic match-3 game you have to help Aurora and her dragon Eratus in their fight to overthrow the evil Queen and restore peace to the land.,₹ 233,"17 Nov, 2020",e-FunSoft Games,HH-Games,Casual
1463050,The Purification,As the last surviver you find yourself in a zombie infected wolrd. Survive by finding weapons and objects to escape the horror.,₹ 42,"20 Nov, 2020",JK Productions,JK Productions,"Action, Indie, Early Access"
1463080,Snow Survival,"As a result of a heavy snowfall, the passenger plane crashes on a deserted and cold island. You are the only survivor of the plane and get ready to explore this cold forest.",₹ 399,"19 Mar, 2021",3m0 studio,3m0 studio,"Action, Adventure, Indie, Early Access"
1463100,Idol Keeper,"Idol Keeper is a 3D one-player turn based game where you have to make many strategic choices as you face demon waves, with many random events guarantying hours and hours of unique gaming time.",N/A,Coming soon,Moutik Gaming,Moutik Gaming,"Indie, Strategy"
1463130,Robobo TM,Starts on slow gear and explore. Enter timed stages portal to SHIFT GEARS! HURRY! Time is your Life.  Protect it.  Shoot to unlock your path. Not fast or strong? Level up and upgrade! Lots of fun in a Short Game !Can cause rage attacks! Are you up to the task?,₹ 85,"23 Jun, 2021",Diaz Pepper,Diaz Pepper,"Action, Casual, Indie"
1463420,INDICTED,"&quot;INDICTED&quot; is a first-person psychological horror game exploring the fears of Arthur, a police investigator with a dark past. With immersive graphics and environments, and a touch of horror from the 80s and 90s. Thus bringing a unique experience of horror and survival.",₹ 105,"29 Oct, 2021",616 GAMES,616 GAMES,"Action, Adventure, Indie"
1463450,Fallstreak: Requiem for my Homeland,A death march to the end of the world. Can humanity's lost future be reclaimed?,₹ 199,"19 Nov, 2020",Centicerise Productions,Centicerise Productions,"Adventure, Casual, Indie"
1463470,Ruff Night At The Gallery,"Ruff Night At The Gallery is an adorable short-form horror masterpiece featuring art, dogs, and spooky ghosts. Explore the gallery, find some keys, and admire the artwork...just don’t get licked!",N/A,"1 Dec, 2020",Casey Donnellan Games LLC,Casey Donnellan Games LLC,"Adventure, Free To Play, Indie"
1463497,Idle Champions - Champions of Renown: Year 3 All-Star Pack,"Unlocks the following event Champions: Avren, Havilar, Krull, Melf, and Nova. Krull's Mastermind Krull Skin 16 Gold Event Champion Chests with 2 guaranteed shiny equipment cards each for Avren, Havilar, Krull, Melf, and Nova.","₹ 2,400","16 Dec, 2020",Codename Entertainment Inc.,Codename Entertainment Inc. ,"Action, Adventure, Free To Play, Indie, Strategy"
1463500,Conrun Virtual Gym,"Compete against AI in a virtual gym. Earn XP, unlock stages, cosmetics and more.",₹ 199,"12 Dec, 2020",Selfparadise,Selfparadise,"Indie, Simulation, Sports, Early Access"
1463510,英雄坛说X之宗门风云,You can do what ever you want in this game.Such as learn some KongFu and kill the wanted bad guy.Help some old woman do her house work for money.Or even marry a pretty woman or handsome guy.This is an open KongFu world!Just do as yourself .Enjoy it!,N/A,"27 Nov, 2020",成都盟布克科技有限公司,成都盟布克科技有限公司,"Adventure, Free To Play, Indie, RPG"
1463520,Dots! Soundtrack,DOTS! SOUNDTRACK,₹ 105,"20 Nov, 2020",EYEFRONT,EYEFRONT,
1463530,Escape the Underground,"At the bottom of a massive underground dump, a sentient pile of sludge is born. After finding a discarded book that shows photographs of the surface, they decide to make the journey upward to see the outside world.",N/A,"15 Mar, 2021",Joseph English,Sleepy Vampire Games,"Action, Adventure, Free To Play, Indie"
1463570,Eternal Liiivie EP2- Hiding in the dark,"This is a pure love RPG, the second episode. After a long journey, Ita and Margarcia arrived at the second area of Mount Grace, the beautiful wonderland called &quot;Malice&quot;.",₹ 239,"29 Aug, 2021",梅果子Plumko,純白花園WeissGarden,"Adventure, Indie, RPG, Early Access"
1463580,RPG Maker VX Ace - Cosmic Frontier Backgrounds,"Build your own universe of planets, stars, and nebulae, and send your game boldly beyond! Also includes a bold musical theme!",₹ 690,"26 Nov, 2020",Joel Steudler,KOMODO,"Design & Illustration, Web Publishing"
1463581,RPG Maker VX Ace - RE-D FINAL BATTLE MUSIC PACK,Prepare to give your boss battles the magic and emotion they need with 10 brand new tracks from the RE-D Final Battle Music Pack!,₹ 690,"26 Nov, 2020",Gee-kun-soft,KOMODO,"Design & Illustration, Web Publishing"
1463582,RPG Maker VX Ace - Living the Dream,The Living the Dream Music Pack offers a great set of chill and expressive tunes to breath life and emotion into your new RPG.,₹ 880,"19 Nov, 2020",ayato sound create,KOMODO,"Design & Illustration, Web Publishing"
1463590,RPG Maker MV - Cosmic Frontier Backgrounds,"Build your own universe of planets, stars, and nebulae, and send your game boldly beyond! Also includes a bold musical theme!",₹ 690,"26 Nov, 2020",Joel Steudler,KOMODO,"Design & Illustration, Web Publishing"
1463591,RPG Maker MV - RE-D FINAL BATTLE MUSIC PACK,Prepare to give your boss battles the magic and emotion they need with 10 brand new tracks from the RE-D Final Battle Music Pack!,₹ 690,"26 Nov, 2020",Gee-kun-soft,KOMODO,"Design & Illustration, Web Publishing"
1463592,RPG Maker MV - Heroine Character Generator 7,The new Heroine Character Generator Pack 7 is here to provide a vast amount of creativity and customization to your characters.,₹ 690,"19 Nov, 2020",Gee-kun-soft,KOMODO,"Design & Illustration, Web Publishing"
1463593,RPG Maker MV - Living the Dream,The Living the Dream Music Pack offers a great set of chill and expressive tunes to breath life and emotion into your new RPG.,₹ 880,"19 Nov, 2020",ayato sound create,KOMODO,"Design & Illustration, Web Publishing"
1463594,RPG Maker MV - KR Elemental Dungeon Tileset - Fire Water Earth Wind,"Bring the power of the elements to your RPG Maker MV game with Elemental Dungeon Tiles, featuring fire, water, earth and wind!",₹ 730,"12 Nov, 2020",Kokoro Reflections,KOMODO,"Design & Illustration, Web Publishing"
1463600,RPG Maker MZ - RE-D FINAL BATTLE MUSIC PACK,Prepare to give your boss battles the magic and emotion they need with 10 brand new tracks from the RE-D Final Battle Music Pack!,₹ 690,"26 Nov, 2020",Gee-kun-soft,KOMODO,"RPG, Design & Illustration, Web Publishing"
1463610,RPG Maker MZ - Living the Dream,The Living the Dream Music Pack offers a great set of chill and expressive tunes to breath life and emotion into your new RPG.,₹ 880,"19 Nov, 2020",ayato sound create,KOMODO,"RPG, Design & Illustration, Web Publishing"
